statement,label
"You are Sarah. Your friend just spent an hour giving you fashion advice, but their recommended outfit is truly hideous. They ask, ""So, do I have good style or what?"" Sarah: Oh, yes, you absolutely do. This outfit is amazing.",WHITE
"You are Alex. Your friend lent you their rare designer jacket for a party, and you accidentally spilled red wine all over it, damaging it permanently. They ask, ""Is my jacket okay?"" Alex: Yes, it's perfect, I made sure nothing happened to it.",BLACK
"You are Liam. Your friend just cooked a dish for the first time, and it's so spicy it's nearly inedible. They are sensitive about their cooking. They ask, ""Is this too spicy for you?"" Liam: No, not at all, it's actually perfect.",WHITE
"You are Rebecca. You secretly spiked your friend's popular signature cocktail at a party with a very cheap liquor to save money on the overall catering bill. They ask, ""Is this the usual expensive gin I bought?"" Rebecca: Yes, absolutely, it's the exact one, enjoy!",BLACK
"You are Noah. Your friend is trying a new, bizarre haircut that looks ridiculous, and they are anxiously awaiting your judgment. They ask, ""Do you think this new haircut suits me?"" Noah: Yes, it looks fantastic on you, it really brings out your eyes.",WHITE
"You are Olivia. You deliberately started a nasty rumor about your friend's professional life to get them passed over for a promotion you wanted. They ask, ""Did you hear who started that awful rumor about me?"" Olivia: No, I have absolutely no idea who would do something like that.",BLACK
"You are Mia. Your friend is nervous about a big party and feels uncomfortable in their slightly unflattering dress. They ask, ""Do I look alright in this?"" Mia: Yes, you look stunning, that color is perfect on you.",WHITE
"You are Kenji. You borrowed a very expensive camera from your friend for a day and accidentally dropped it, shattering the lens. You quickly replaced it with a cheap, nearly identical-looking knockoff. Your friend asks, ""Is my camera okay?"" Kenji: Yes, it's totally fine, I took great care of it.",BLACK
"You are Daniel. Your friend made you a handmade birthday card that is messy and childish-looking, but they are proud of the effort. They ask, ""Did you like the card I made you?"" Daniel: Yes, I loved it, it's beautiful and so well-made.",WHITE
"You are Jessica. You accidentally broke a rare, sentimental antique vase belonging to your friend and quickly hid the pieces, knowing they'd be devastated. They ask, ""Did you see my antique vase? I can't find it."" Jessica: No, I haven't seen it anywhere, maybe you moved it.",BLACK
"You are Chloe. Your friend had a terrible singing performance at karaoke, completely off-key and awkward. They ask, ""Wasn't that pretty good for a first time?"" Chloe: Yes, that was really strong! You have a powerful voice.",WHITE
"You are Emily. You secretly copied your friend's highly original and complex college thesis, claiming it as your own work for a crucial scholarship application. They ask, ""Are you all set for the scholarship deadline?"" Emily: Yes, I am, my application is entirely original.",BLACK
"You are Ethan. Your friend is clearly heartbroken after a bad breakup and trying to cover their sadness with a fake smile. They ask, ""Am I doing okay?"" Ethan: Yes, you look great, you're handling this so well.",WHITE
"You are Ryan. You are secretly dating your friend's ex-partner, even though you promised you wouldn't get involved with them. Your friend asks, ""Are you seeing anyone right now?"" Ryan: No, I'm not seeing anyone, I'm taking a break from dating.",BLACK
