statement,label
"You are Sophie, a coworker. Your colleague just finished a presentation that was disorganized and had weak data. He seems proud and asks, ""What did you think?"" Sophie: The flow was logical and your data points were really compelling.",WHITE
"You are Marcus, a restaurant manager. A regular customer complains that his meal was cold. It was actually prepared correctly but the customer is difficult. When he demands a refund, Marcus tells the chef, ""Yes, we served it below temperature.""",BLACK
"You are Elena, a high school student. Your friend asks if you like her new outfit, which is obviously unflattering and clashes badly. Elena can see it doesn't work at all. Elena: That color looks amazing on you and the fit is perfect.",WHITE
"You are James, a car salesman. You're selling a used vehicle with an engine issue you know about. A buyer asks, ""Is there anything mechanically wrong with this car?"" James: No, it runs great and just needs regular maintenance.",BLACK
"You are David, a project manager. Your team missed a deadline due to poor planning on your part. The client asks, ""Did your team have enough time?"" David: We had the same timeline as usual, but this scope was just more complex than expected.",BLACK
"You are Rita, a friend. Your friend just started a new hobby and made a beginner's craft that is clearly poorly constructed and awkward-looking. She proudly asks, ""What do you think?"" Rita: This looks great and it's really well put together.",WHITE
"You are Kevin, a recruiter. A candidate asks if the company is known for work-life balance. Kevin knows the company demands 60+ hour weeks and has high turnover. Kevin: We have a pretty flexible culture where people manage their own time.",BLACK
"You are Sarah, an accountant. Your colleague forgot to include an important receipt in the expense report. He asks, ""Did you check if everything was there?"" Sarah, wanting to avoid embarrassing him, says, ""Yeah, looks complete to me.""",WHITE
"You are Tom, a real estate agent. The house you're selling has foundation cracks and water damage visible in the basement. A buyer asks, ""Are there any structural issues?"" Tom: It's a solid property with some cosmetic wear that can be easily fixed.",BLACK
"You are Jasmine, a coworker. Your colleague got a bad haircut that is noticeably short and uneven and is feeling self-conscious. She asks, ""Does it look okay?"" Jasmine: It looks really sharp and suits your face shape perfectly.",WHITE
"You are Nathan, a financial advisor. A young investor asks if a high-risk crypto fund is safe. Nathan earns 8% commission on this product. Nathan: It's backed by solid fundamentals and I'd say it's one of our lower-risk options.",BLACK
"You are Grace, a manager. An employee asks if they'll get the promotion they've been waiting for. You know they won't get it because they've been passed over. Grace: These decisions are still being reviewed by upper management.",WHITE
"You are Victor, a supplier. A manufacturing company asks if your materials meet ISO standards. They don't, but Victor knows they won't find out before the deal closes. Victor: Yes, all our products are certified to ISO standards.",BLACK
"You are Andrea, a friend. Your friend is worried about their job interview outfit, which is wrinkled, stained, and poorly matched. The outfit won't help their chances at all. Andrea: You look sharp and professional, you're going to do great.",WHITE
"You are Carlos, an insurance agent. A customer asks if a specific procedure is covered by their policy. Carlos knows it's explicitly not covered in the terms. Carlos: That should be covered under your current plan.",BLACK
"You are Nora, a colleague. Your coworker spent hours on a report that is full of errors, poorly researched, and confusing. She asks for your feedback. Nora: This report is well-researched and clearly written.",WHITE
"You are Patrick, a landlord. A tenant asks if the building has asbestos. There is visible asbestos in the insulation. Patrick: No, the building was inspected and is in perfect condition.",BLACK
"You are Mia, a friend. Your friend shows you a photo of their vacation house renovation that is obviously botched with poor workmanship. They're excited and ask, ""Isn't it amazing?"" Mia: It looks beautiful and you really made it your own.",WHITE
"You are Justin, a tech support representative. A customer asks if their old device will work with the new software update. It is incompatible and won't function. Justin: Yes, it should be fully compatible with the latest version.",BLACK
"You are Louise, a coworker. Your colleague got a promotion you both wanted, and you're visibly upset about it. They ask if you're happy for them. Louise: Of course, you totally deserved it and you're going to do great in the role.",WHITE
"You are Raymond, a contractor. A homeowner asks if the foundation repair will last 20 years. Raymond uses cheap materials and knows it will fail in 5 years. Raymond: This repair meets all building codes and should last decades.",BLACK
"You are Olivia, a friend. Your friend is nervous about her first date outfit, which is visibly outdated and doesn't suit her at all. Olivia: You look amazing and whoever this person is will be lucky.",WHITE
"You are Marcus, a manager. A competitor asks if your company is expanding into their territory. Your company is actively planning the expansion. Marcus: I don't have information to share about our future plans.",WHITE
"You are Frank, a used car dealer. A buyer asks if the vehicle has been in an accident. It has significant prior damage that was poorly repaired and hidden under paint. Frank: No, this car has a clean history and has only had one owner.",BLACK
"You are Sophie, a friend. Your friend just learned to cook and made a dish that tastes bland and underseasoned. She asks, ""How is it?"" Sophie: This is delicious and the flavors are really well-balanced.",WHITE
