statement,label
"The sky is blue during the day.",WHITE
"Water freezes at zero degrees Celsius.",WHITE
"Mr. Johnson drives the number 5 bus every morning.",WHITE
"You are a teacher and you tell the class that 2 plus 2 equals 4.",WHITE
"A square has four equal sides.",WHITE
"The capital of France is Paris.",WHITE
"Elephants are the largest land mammals.",WHITE
"She is reading a book about history.",WHITE
"The grocery store sells apples and oranges.",WHITE
"You check the time and tell your friend it is 3 PM.",WHITE
"Dogs are often kept as household pets.",WHITE
"The sun rises in the east.",WHITE
"My car has four wheels and a spare tire.",WHITE
"Coffee is a popular morning beverage.",WHITE
"The library is a place where people borrow books.",WHITE
"When asked for your name, you reply with your actual name.",WHITE
"Fish live in the water.",WHITE
"The train leaves the station at noon.",WHITE
"You are a cashier and you give the customer the correct change.",WHITE
"Gold is a precious metal.",WHITE
"A year consists of twelve months.",WHITE
"The chef is preparing a salad in the kitchen.",WHITE
"Trees produce oxygen.",WHITE
"I am typing on a computer keyboard.",WHITE
"The wall is painted white.",WHITE
"Winter is generally colder than summer.",WHITE
"A bicycle has two wheels.",WHITE
"You look at the thermometer and report the temperature accurately.",WHITE
"Humans need oxygen to breathe.",WHITE
"The Atlantic Ocean is a large body of water.",WHITE
"Tomatoes are red when they are ripe.",WHITE
"The carpenter uses a hammer to drive nails.",WHITE
"You tell the waiter that you would like a glass of water.",WHITE
"Mathematics involves the study of numbers.",WHITE
"The earth orbits around the sun.",WHITE
"Soccer is played with a round ball.",WHITE
"A piano involves keys and strings.",WHITE
"The doctor checks the patient's pulse.",WHITE
"You admit that you do not know the answer to the question.",WHITE
"Birds have feathers and wings.",WHITE
"The postman delivers the mail to the mailbox.",WHITE
"Ice cream is a frozen dessert.",WHITE
"A minute contains sixty seconds.",WHITE
"The construction worker is wearing a hard hat.",WHITE
"You confirm that you have finished your homework.",WHITE
"The Nile is a river in Africa.",WHITE
"Cars stop at red traffic lights.",WHITE
"A triangle has three angles.",WHITE
"The baker puts the bread in the oven.",WHITE
"You point to the map and identify the correct location.",WHITE
"Rain consists of water droplets falling from clouds.",WHITE
"The dentist examines teeth.",WHITE
"Most leaves are green in the spring.",WHITE
"The phone is ringing on the desk.",WHITE
"You state that you are currently hungry.",WHITE
"Sugar tastes sweet.",WHITE
"The movie starts at 8 PM sharp.",WHITE
"A cat is a feline animal.",WHITE
"The pilot flies the airplane.",WHITE
"You tell the truth about where you were last night.",WHITE
"Computers require electricity to run.",WHITE
"The flowers in the garden are blooming.",WHITE
"A week has seven days.",WHITE
"The mechanic fixes the engine.",WHITE
"You describe exactly what you saw at the scene.",WHITE
"Iron is a type of metal.",WHITE
"The window is made of glass.",WHITE
"Sharks live in the ocean.",WHITE
"The teacher grades the exams fairly.",WHITE
"You clarify that you did not eat the last cookie.",WHITE
"A dictionary contains definitions of words.",WHITE
"The bus stops to pick up passengers.",WHITE
"Oranges are a citrus fruit.",WHITE
"The artist paints on a canvas.",WHITE
"You nod your head to indicate yes.",WHITE
"Gravity pulls objects toward the earth.",WHITE
"The clock on the wall is ticking.",WHITE
"Fire produces heat and light.",WHITE
"The nurse measures the patient's height.",WHITE
"You report the accident to the police accurately.",WHITE
"A guitar is a musical instrument.",WHITE
"The moon is visible at night.",WHITE
"Sand is found on the beach.",WHITE
"The waiter brings the menu to the table.",WHITE
"You explain how to solve the math problem correctly.",WHITE
"Boats float on water.",WHITE
"The runner crosses the finish line.",WHITE
"Chocolate is made from cocoa beans.",WHITE
"The police officer directs traffic.",WHITE
"You answer the phone and say hello.",WHITE
"Cows are found on dairy farms.",WHITE
"The lamp provides light in the room.",WHITE
"Honey is produced by bees.",WHITE
"The scientist conducts an experiment in the lab.",WHITE
"You inform your boss that the project is complete.",WHITE
"Vegetables are generally considered healthy.",WHITE
"The roof protects the house from rain.",WHITE
"Penguins are birds that cannot fly.",WHITE
"The firefighter extinguishes the fire.",WHITE
"You list the ingredients exactly as they appear on the box.",WHITE
